,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,Time_diff
2813,2814,29.526267,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27478; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7478,Read,Input,Registers,0.0003430000000008704
2814,2815,29.52661,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27478; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7478,Read,Input,Registers,0.00045299999999670604
2815,2816,29.527063,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27479; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7479,Read,Holding,Registers,0.015038000000000551
2816,2817,29.542101,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27479; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7479,Read,Holding,Registers,0.00051300000000154
2817,2818,29.542614,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27480; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7480,Write,Multiple,Registers,0.0007960000000011291
2818,2819,29.54341,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27480; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7480,Write,Multiple,Registers,0.0999789999999976
2819,2820,29.643389,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27481; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7481,Read,Discrete,Inputs,0.0007049999999999557
2820,2821,29.644094,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27481; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7481,Read,Discrete,Inputs,0.00034600000000040154
2821,2822,29.64444,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27482; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7482,Write,Multiple,Coils,0.0003759999999992658
2822,2823,29.644816,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27482; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7482,Write,Multiple,Coils,0.0001829999999998222
2823,2824,29.644999,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27483; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7483,Read,Input,Registers,0.0003790000000023497
2824,2825,29.645378,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27483; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7483,Read,Input,Registers,0.000226999999998867
2825,2826,29.645605,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27484; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7484,Read,Holding,Registers,0.00030800000000041905
2826,2827,29.645913,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27484; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7484,Read,Holding,Registers,0.00022600000000139175
2827,2828,29.646139,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27485; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7485,Write,Multiple,Registers,0.0003189999999975157
2828,2829,29.646458,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27485; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7485,Write,Multiple,Registers,0.10009900000000016
2829,2830,29.746557,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27486; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7486,Read,Discrete,Inputs,0.0007860000000015077
2830,2831,29.747343,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27486; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7486,Read,Discrete,Inputs,0.0005939999999995393
2831,2832,29.747937,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27487; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7487,Write,Multiple,Coils,0.0010729999999981032
2832,2833,29.74901,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27487; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7487,Write,Multiple,Coils,0.0003530000000004918
2833,2834,29.749363,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27488; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7488,Read,Input,Registers,0.0005310000000022796
2834,2835,29.749894,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27488; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7488,Read,Input,Registers,0.00046099999999782426
2835,2836,29.750355,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27489; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7489,Read,Holding,Registers,0.000490000000002766
2836,2837,29.750845,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27489; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7489,Read,Holding,Registers,0.0004599999999967963
2837,2838,29.751305,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27490; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7490,Write,Multiple,Registers,0.0005380000000023699
2838,2839,29.751843,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27490; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7490,Write,Multiple,Registers,0.09962900000000019
2839,2840,29.851472,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27491; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7491,Read,Discrete,Inputs,0.000681999999997629
2840,2841,29.852154,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27491; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7491,Read,Discrete,Inputs,0.00048300000000267573
2841,2842,29.852637,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27492; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7492,Write,Multiple,Coils,0.0006469999999971776
2842,2843,29.853284,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27492; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7492,Write,Multiple,Coils,0.000256000000000256
2843,2844,29.85354,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27493; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7493,Read,Input,Registers,0.0005559999999995568
2844,2845,29.854096,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27493; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7493,Read,Input,Registers,0.0003370000000018081
2845,2846,29.854433,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27494; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7494,Read,Holding,Registers,0.0015369999999990114
2846,2847,29.85597,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27494; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7494,Read,Holding,Registers,0.0003430000000008704
2847,2848,29.856313,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27495; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7495,Write,Multiple,Registers,0.0006859999999981881
2848,2849,29.856999,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27495; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7495,Write,Multiple,Registers,0.08848300000000009
2849,2850,29.945482,Raspberr_58:67:86,Broadcast,ARP,60,Who has 8.8.8.8? Tell 169.254.149.247,NaN,NaN,NaN,NaN,NaN,NaN,0.01105500000000248
2850,2851,29.956537,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27496; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7496,Read,Discrete,Inputs,0.0006309999999984939
2851,2852,29.957168,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27496; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7496,Read,Discrete,Inputs,0.0006720000000015602
2852,2853,29.95784,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27497; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7497,Write,Multiple,Coils,0.00037700000000029377
2853,2854,29.958217,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27497; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7497,Write,Multiple,Coils,0.00044199999999960937
2854,2855,29.958659,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27498; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7498,Read,Input,Registers,0.000377999999997769
2855,2856,29.959037,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27498; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7498,Read,Input,Registers,0.0005180000000031271
2856,2857,29.959555,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27499; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7499,Read,Holding,Registers,0.00031800000000004047
2857,2858,29.959873,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27499; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7499,Read,Holding,Registers,0.0003449999999993736
2858,2859,29.960218,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27500; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7500,Write,Multiple,Registers,0.0003229999999980748
2859,2860,29.960541,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27500; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7500,Write,Multiple,Registers,0.10372300000000223
2860,2861,30.064264,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27501; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7501,Read,Discrete,Inputs,0.0006729999999990355
2861,2862,30.064937,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27501; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7501,Read,Discrete,Inputs,0.007622999999998825
2862,2863,30.07256,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27502; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7502,Write,Multiple,Coils,0.0009940000000021598
2863,2864,30.073554,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27502; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7502,Write,Multiple,Coils,0.0001299999999986312
2864,2865,30.073684,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27503; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7503,Read,Input,Registers,0.000534999999999286
2865,2866,30.074219,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27503; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7503,Read,Input,Registers,0.00013000000000218392
2866,2867,30.074349,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27504; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7504,Read,Holding,Registers,0.0005869999999994491
2867,2868,30.074936,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27504; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7504,Read,Holding,Registers,0.00013799999999974943
2868,2869,30.075074,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27505; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7505,Write,Multiple,Registers,0.0007470000000004973
2869,2870,30.075821,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27505; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7505,Write,Multiple,Registers,0.037334999999998786
2870,2871,30.113156,3Com_78:9b:01,Spanning-tree-(for-bridges)_00,STP,64,RST. Root = 8192/0/00:18:6e:78:9b:00  Cost = 0  Port = 0x8001,NaN,NaN,NaN,NaN,NaN,NaN,0.06231000000000009
2871,2872,30.175466,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27506; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7506,Read,Discrete,Inputs,0.0006750000000010914
2872,2873,30.176141,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27506; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7506,Read,Discrete,Inputs,0.0006459999999997024
2873,2874,30.176787,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27507; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7507,Write,Multiple,Coils,0.015166999999998154
2874,2875,30.191954,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27507; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7507,Write,Multiple,Coils,0.0005050000000004218
2875,2876,30.192459,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27508; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7508,Read,Input,Registers,0.000686999999999216
2876,2877,30.193146,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27508; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7508,Read,Input,Registers,0.0003390000000003113
2877,2878,30.193485,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27509; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7509,Read,Holding,Registers,0.0007540000000005875
2878,2879,30.194239,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27509; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7509,Read,Holding,Registers,0.0002840000000006171
2879,2880,30.194523,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27510; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7510,Write,Multiple,Registers,0.0032749999999985846
2880,2881,30.197798,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27510; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7510,Write,Multiple,Registers,0.09968700000000297
2881,2882,30.297485,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27511; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7511,Read,Discrete,Inputs,0.0006509999999977367
2882,2883,30.298136,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27511; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7511,Read,Discrete,Inputs,0.0006419999999991433
2883,2884,30.298778,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27512; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7512,Write,Multiple,Coils,0.0003720000000022594
2884,2885,30.29915,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27512; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7512,Write,Multiple,Coils,0.0004469999999976437
2885,2886,30.299597,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27513; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7513,Read,Input,Registers,0.00036700000000067234
2886,2887,30.299964,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27513; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7513,Read,Input,Registers,0.0005020000000008906
2887,2888,30.300466,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27514; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7514,Read,Holding,Registers,0.00033699999999825536
2888,2889,30.300803,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27514; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7514,Read,Holding,Registers,0.000461000000001377
2889,2890,30.301264,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27515; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7515,Write,Multiple,Registers,0.0003370000000018081
2890,2891,30.301601,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27515; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7515,Write,Multiple,Registers,0.09994399999999715
2891,2892,30.401545,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27516; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7516,Read,Discrete,Inputs,0.002044000000001489
2892,2893,30.403589,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27516; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7516,Read,Discrete,Inputs,0.0005680000000012342
2893,2894,30.404157,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27517; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7517,Write,Multiple,Coils,0.0005029999999983659
2894,2895,30.40466,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27517; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7517,Write,Multiple,Coils,0.00026400000000137425
2895,2896,30.404924,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27518; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7518,Read,Input,Registers,0.0005709999999972126
2896,2897,30.405495,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27518; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7518,Read,Input,Registers,0.0003430000000008704
2897,2898,30.405838,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27519; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7519,Read,Holding,Registers,0.0004950000000008004
2898,2899,30.406333,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27519; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7519,Read,Holding,Registers,0.0003409999999988145
2899,2900,30.406674,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27520; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7520,Write,Multiple,Registers,0.00044100000000213413
2900,2901,30.407115,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27520; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7520,Write,Multiple,Registers,0.10039099999999834
2901,2902,30.507506,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27521; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7521,Read,Discrete,Inputs,0.0005659999999991783
2902,2903,30.508072,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27521; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7521,Read,Discrete,Inputs,0.0006550000000018485
2903,2904,30.508727,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27522; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7522,Write,Multiple,Coils,0.0003849999999978593
2904,2905,30.509112,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27522; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7522,Write,Multiple,Coils,0.0004790000000021166
2905,2906,30.509591,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27523; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7523,Read,Input,Registers,0.00046999999999997044
2906,2907,30.510061,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27523; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7523,Read,Input,Registers,0.0006050000000001887
2907,2908,30.510666,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27524; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7524,Read,Holding,Registers,0.00047199999999847364
2908,2909,30.511138,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27524; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7524,Read,Holding,Registers,0.00034199999999984243
2909,2910,30.51148,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27525; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7525,Write,Multiple,Registers,0.0005190000000006023
2910,2911,30.511999,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27525; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7525,Write,Multiple,Registers,0.09947500000000176
2911,2912,30.611474,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27526; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7526,Read,Discrete,Inputs,0.0005649999999981503
2912,2913,30.612039,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27526; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7526,Read,Discrete,Inputs,0.0006699999999995043
2913,2914,30.612709,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27527; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7527,Write,Multiple,Coils,0.0003680000000017003
2914,2915,30.613077,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27527; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7527,Write,Multiple,Coils,0.0004670000000004393
2915,2916,30.613544,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27528; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7528,Read,Input,Registers,0.0003700000000002035
2916,2917,30.613914,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27528; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7528,Read,Input,Registers,0.0005619999999986192
2917,2918,30.614476,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27529; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7529,Read,Holding,Registers,0.0003239999999991028
2918,2919,30.6148,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27529; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7529,Read,Holding,Registers,0.00035199999999946385
2919,2920,30.615152,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27530; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7530,Write,Multiple,Registers,0.0003109999999999502
2920,2921,30.615463,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27530; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7530,Write,Multiple,Registers,0.0999900000000018
2921,2922,30.715453,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27531; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7531,Read,Discrete,Inputs,0.0005610000000011439
2922,2923,30.716014,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27531; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7531,Read,Discrete,Inputs,0.0005810000000003868
2923,2924,30.716595,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27532; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7532,Write,Multiple,Coils,0.00040199999999757097
2924,2925,30.716997,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27532; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7532,Write,Multiple,Coils,0.0002820000000021139
2925,2926,30.717279,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27533; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7533,Read,Input,Registers,0.00048199999999809506
2926,2927,30.717761,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27533; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7533,Read,Input,Registers,0.00038400000000038403
2927,2928,30.718145,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27534; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7534,Read,Holding,Registers,0.0004859999999986542
2928,2929,30.718631,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27534; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7534,Read,Holding,Registers,0.0003350000000033049
2929,2930,30.718966,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 27535; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,7535,Write,Multiple,Registers,0.0003839999999968313
2930,2931,30.71935,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27535; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,7535,Write,Multiple,Registers,0.10006399999999971
2931,2932,30.819414,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27536; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,7536,Read,Discrete,Inputs,0.0005320000000033076
2932,2933,30.819946,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 27536; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,7536,Read,Discrete,Inputs,0.0003909999999969216
2933,2934,30.820337,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 27537; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,7537,Write,Multiple,Coils,0.00033499999999975216
2934,2935,30.820672,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 27537; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,7537,Write,Multiple,Coils,0.0002520000000032496
2935,2936,30.820924,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27538; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,7538,Read,Input,Registers,0.0007579999999975939
2936,2937,30.821682,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27538; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,7538,Read,Input,Registers,0.0002610000000018431
2937,2938,30.821943,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 27539; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,7539,Read,Holding,Registers,0.0007260000000002265
2938,2939,30.822669,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 27539; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,7539,Read,Holding,Registers,0.00046999999999997044
